Title,Actors
The Place Beyond the Pines,Ryan Gosling
The Place Beyond the Pines,Bradley Cooper
The Place Beyond the Pines,"Eva Mendes,Craig Van Hook"
No Country for Old Men,Tommy Lee Jones
No Country for Old Men,Javier Bardem
No Country for Old Men,Josh Brolin
No Country for Old Men,Woody Harrelson
The Great Gatsby,Leonardo DiCaprio
The Great Gatsby,Carey Mulligan
The Great Gatsby,"Joel Edgerton,Tobey Maguire"
Shutter Island,Leonardo DiCaprio
Shutter Island,Emily Mortimer
Shutter Island,"Mark Ruffalo,Ben Kingsley"
Brimstone,Dakota Fanning
Brimstone,Guy Pearce
Brimstone,"Kit Harington,Carice van Houten"
Star Trek,Chris Pine
Star Trek,Zachary Quinto
Star Trek,Simon Pegg
Star Trek,Leonard Nimoy
Diary of a Wimpy Kid,Zachary Gordon
Diary of a Wimpy Kid,Robert Capron
Diary of a Wimpy Kid,"Rachael Harris,Steve Zahn"
The Big Short,Christian Bale
The Big Short,Steve Carell
The Big Short,Ryan Gosling
The Big Short,Brad Pitt
Room,Brie Larson
Room,Jacob Tremblay
Room,"Sean Bridgers,Wendy Crewson"
Django Unchained,Jamie Foxx
Django Unchained,Christoph Waltz
Django Unchained,"Leonardo DiCaprio,Kerry Washington"
Ah-ga-ssi,Min-hee Kim
Ah-ga-ssi,Jung-woo Ha
Ah-ga-ssi,Jin-woong Jo
Ah-ga-ssi,So-ri Moon
The Edge of Seventeen,Hailee Steinfeld
The Edge of Seventeen,Haley Lu Richardson
The Edge of Seventeen,Blake Jenner
The Edge of Seventeen,Kyra Sedgwick
Watchmen,Jackie Earle Haley
Watchmen,Patrick Wilson
Watchmen,"Carla Gugino,Malin Akerman"
Superbad,Michael Cera
Superbad,Jonah Hill
Superbad,Christopher Mintz-Plasse
Superbad,Bill Hader
Inferno,Tom Hanks
Inferno,Felicity Jones
Inferno,Irrfan Khan
Inferno,Ben Foster
The BFG,Mark Rylance
The BFG,Ruby Barnhill
The BFG,"Penelope Wilton,Jemaine Clement"
The Hunger Games,Jennifer Lawrence
The Hunger Games,Josh Hutcherson
The Hunger Games,"Liam Hemsworth,Stanley Tucci"
White Girl,Morgan Saylor
White Girl,Brian Marc
White Girl,Justin Bartha
White Girl,Adrian Martinez
Sicario,Emily Blunt
Sicario,Josh Brolin
Sicario,Benicio Del Toro
Sicario,Jon Bernthal
Twin Peaks: The Missing Pieces,Chris Isaak
Twin Peaks: The Missing Pieces,Kiefer Sutherland
Twin Peaks: The Missing Pieces,C.H. Evans
Twin Peaks: The Missing Pieces,Sandra Kinder
Aliens vs Predator - Requiem,Reiko Aylesworth
Aliens vs Predator - Requiem,"Steven Pasquale,Shareeka Epps"
Aliens vs Predator - Requiem,John Ortiz
Pacific Rim,Idris Elba
Pacific Rim,Charlie Hunnam
Pacific Rim,"Rinko Kikuchi,Charlie Day"
"Crazy, Stupid, Love.",Steve Carell
"Crazy, Stupid, Love.",Ryan Gosling
"Crazy, Stupid, Love.",Julianne Moore
"Crazy, Stupid, Love.",Emma Stone
Scott Pilgrim vs. the World,Michael Cera
Scott Pilgrim vs. the World,Mary Elizabeth Winstead
Scott Pilgrim vs. the World,Kieran Culkin
Scott Pilgrim vs. the World,Alison Pill
Hot Fuzz,Simon Pegg
Hot Fuzz,Nick Frost
Hot Fuzz,Martin Freeman
Hot Fuzz,Bill Nighy
Mine,Armie Hammer
Mine,"Annabelle Wallis,Tom Cullen"
Mine,Clint Dyer
Free Fire,Sharlto Copley
Free Fire,Brie Larson
Free Fire,Armie Hammer
Free Fire,Cillian Murphy
X-Men: Days of Future Past,Patrick Stewart
X-Men: Days of Future Past,Ian McKellen
X-Men: Days of Future Past,Hugh Jackman
X-Men: Days of Future Past,James McAvoy
Jack Reacher: Never Go Back,Tom Cruise
Jack Reacher: Never Go Back,Cobie Smulders
Jack Reacher: Never Go Back,Aldis Hodge
Jack Reacher: Never Go Back,Robert Knepper
Casino Royale,Daniel Craig
Casino Royale,Eva Green
Casino Royale,Judi Dench
Casino Royale,Jeffrey Wright
Twilight,Kristen Stewart
Twilight,Robert Pattinson
Twilight,"Billy Burke,Sarah Clarke"
Now You See Me 2,Jesse Eisenberg
Now You See Me 2,Mark Ruffalo
Now You See Me 2,Woody Harrelson
Now You See Me 2,Dave Franco
Woman in Gold,Helen Mirren
Woman in Gold,Ryan Reynolds
Woman in Gold,Daniel Brühl
Woman in Gold,Katie Holmes
13 Hours,John Krasinski
13 Hours,Pablo Schreiber
13 Hours,"James Badge Dale,David Denman"
Spectre,Daniel Craig
Spectre,Christoph Waltz
Spectre,Léa Seydoux
Spectre,Ralph Fiennes
Nightcrawler,Jake Gyllenhaal
Nightcrawler,Rene Russo
Nightcrawler,Bill Paxton
Nightcrawler,Riz Ahmed
Kubo and the Two Strings,Charlize Theron
Kubo and the Two Strings,Art Parkinson
Kubo and the Two Strings,Matthew McConaughey
Kubo and the Two Strings,Ralph Fiennes
Beyond the Gates,Graham Skipper
Beyond the Gates,Chase Williamson
Beyond the Gates,"Brea Grant,Barbara Crampton"
Her,Joaquin Phoenix
Her,Amy Adams
Her,"Scarlett Johansson,Rooney Mara"
Frozen,Kristen Bell
Frozen,Idina Menzel
Frozen,Jonathan Groff
Frozen,Josh Gad
Tomorrowland,George Clooney
Tomorrowland,Britt Robertson
Tomorrowland,Hugh Laurie
Tomorrowland,Raffey Cassidy
Dawn of the Planet of the Apes,Gary Oldman
Dawn of the Planet of the Apes,Keri Russell
Dawn of the Planet of the Apes,Andy Serkis
Dawn of the Planet of the Apes,Kodi Smit-McPhee
Tropic Thunder,Ben Stiller
Tropic Thunder,Jack Black
Tropic Thunder,Robert Downey Jr.
Tropic Thunder,Jeff Kahn
The Conjuring 2,Vera Farmiga
The Conjuring 2,Patrick Wilson
The Conjuring 2,Madison Wolfe
The Conjuring 2,Frances O'Connor
Ant-Man,Paul Rudd
Ant-Man,Michael Douglas
Ant-Man,Corey Stoll
Ant-Man,Evangeline Lilly
Bridget Jones's Baby,Renée Zellweger
Bridget Jones's Baby,Gemma Jones
Bridget Jones's Baby,"Jim Broadbent,Sally Phillips"
The VVitch: A New-England Folktale,Anya Taylor-Joy
The VVitch: A New-England Folktale,Ralph Ineson
The VVitch: A New-England Folktale,Kate Dickie
The VVitch: A New-England Folktale,Julian Richings
Cinderella,Lily James
Cinderella,Cate Blanchett
Cinderella,"Richard Madden,Helena Bonham Carter"
Realive,Tom Hughes
Realive,Charlotte Le Bon
Realive,Oona Chaplin
Realive,Barry Ward
Forushande,Taraneh Alidoosti
Forushande,Shahab Hosseini
Forushande,"Babak Karimi,Farid Sajjadi Hosseini"
Love,Aomi Muyock
Love,Karl Glusman
Love,Klara Kristin
Love,Juan Saavedra
Billy Lynn's Long Halftime Walk,Joe Alwyn
Billy Lynn's Long Halftime Walk,Garrett Hedlund
Billy Lynn's Long Halftime Walk,Arturo Castro
Billy Lynn's Long Halftime Walk,Mason Lee
Crimson Peak,Mia Wasikowska
Crimson Peak,Jessica Chastain
Crimson Peak,Tom Hiddleston
Crimson Peak,Charlie Hunnam
Drive,Ryan Gosling
Drive,Carey Mulligan
Drive,Bryan Cranston
Drive,Albert Brooks
Trainwreck,Amy Schumer
Trainwreck,Bill Hader
Trainwreck,Brie Larson
Trainwreck,Colin Quinn
The Light Between Oceans,Michael Fassbender
The Light Between Oceans,Alicia Vikander
The Light Between Oceans,Rachel Weisz
The Light Between Oceans,Florence Clery
Below Her Mouth,Erika Linder
Below Her Mouth,Natalie Krill
Below Her Mouth,Sebastian Pigott
Below Her Mouth,Mayko Nguyen
Spotlight,Mark Ruffalo
Spotlight,Michael Keaton
Spotlight,Rachel McAdams
Spotlight,Liev Schreiber
Morgan,Kate Mara
Morgan,Anya Taylor-Joy
Morgan,Rose Leslie
Morgan,Michael Yare
Warrior,Tom Hardy
Warrior,Nick Nolte
Warrior,Joel Edgerton
Warrior,Jennifer Morrison
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Hugo Weaving
Captain America: The First Avenger,"Samuel L. Jackson,Hayley Atwell"
Hacker,Callan McAuliffe
Hacker,Lorraine Nicholson
Hacker,Daniel Eric Gold
Hacker,Clifton Collins Jr.
Into the Wild,Emile Hirsch
Into the Wild,Vince Vaughn
Into the Wild,Catherine Keener
Into the Wild,Marcia Gay Harden
The Imitation Game,Benedict Cumberbatch
The Imitation Game,Keira Knightley
The Imitation Game,Matthew Goode
The Imitation Game,Allen Leech
Central Intelligence,Dwayne Johnson
Central Intelligence,Kevin Hart
Central Intelligence,Danielle Nicolet
Central Intelligence,Amy Ryan
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Emily Blunt
Edge of Tomorrow,Bill Paxton
Edge of Tomorrow,Brendan Gleeson
A Cure for Wellness,Dane DeHaan
A Cure for Wellness,Jason Isaacs
A Cure for Wellness,Mia Goth
A Cure for Wellness,Ivo Nandi
Snowden,Joseph Gordon-Levitt
Snowden,Shailene Woodley
Snowden,"Melissa Leo,Zachary Quinto"
Iron Man,Robert Downey Jr.
Iron Man,Gwyneth Paltrow
Iron Man,Terrence Howard
Iron Man,Jeff Bridges
Allegiant,Shailene Woodley
Allegiant,Theo James
Allegiant,"Jeff Daniels,Naomi Watts"
X: First Class,James McAvoy
X: First Class,Michael Fassbender
X: First Class,Jennifer Lawrence
X: First Class,Kevin Bacon
Raw (II),Garance Marillier
Raw (II),Ella Rumpf
Raw (II),"Rabah Nait Oufella,Laurent Lucas"
Paterson,Adam Driver
Paterson,Golshifteh Farahani
Paterson,Nellie
Paterson,Rizwan Manji
